symbol,idx,direction,win,pnl,reason
ALICEUSDT,180,LONG,True,7.776340110905721,be_lock
ALICEUSDT,210,LONG,True,17.238161559888574,be_lock
ALICEUSDT,306,LONG,True,11.668530947054444,be_lock
RESOLVUSDT,102,LONG,True,0.8092105263157771,be_lock
RESOLVUSDT,180,LONG,True,1.9999999999999927,be_lock
TOWNSUSDT,180,LONG,True,4.691304347826076,be_lock
EVAAUSDT,312,LONG,True,2.1278388654814515,be_lock
BANKUSDT,162,LONG,True,2.000000000000007,be_lock
BANKUSDT,354,LONG,True,0.44312796208530725,be_lock
BANKUSDT,360,LONG,True,0.4128440366972468,be_lock
