symbol,entry_time,direction,entry_price,confidence,atr_pct,mom_3_pct,exit_pct,exit_reason,duration_min,max_favorable,max_adverse,strategy
USD1USDT,2026-07-19 19:55:56.317476+00:00,LONG,0.9998,58.0,0.0173236885936042,0.0030006901587339,0.02,TIMEOUT,964.1,0.02,0.0,smart
USDCUSDT,2026-07-19 19:55:56.317476+00:00,LONG,1.00061,58.0,0.0139655098307169,0.0019988206957803,0.027,TIMEOUT,964.1,0.027,0.0,smart
TLMUSDT,2026-07-19 19:55:56.317476+00:00,SHORT,0.002606,51.0,8.233571789501987,22.06088992974237,6.37,TP_HIT,4.1,6.37,0.0,smart
REUSDT,2026-07-19 19:55:56.317476+00:00,SHORT,0.3973,60.0,5.692796213529491,-6.3854853911404375,7.098,TP_HIT,844.1,7.098,0.0,smart
WLFIUSDT,2026-07-19 19:55:56.317476+00:00,LONG,0.0578,66.0,1.2012175225331845,1.581722319859399,-1.384,TIMEOUT,964.1,0.0,-1.73,smart
BRUSDT,2026-07-19 19:55:56.317476+00:00,LONG,0.15489,62.0,4.179783850155761,1.4009819967266797,-4.209,SL_HIT,844.1,0.82,-4.209,smart
SOXLBUSDT,2026-07-19 19:55:56.317476+00:00,SHORT,129.98,60.0,4.435438266288096,-3.640002965379196,-4.97,SL_HIT,124.1,0.031,-4.97,smart
RECALLUSDT,2026-07-19 19:55:56.317476+00:00,LONG,0.03897,82.0,3.324561009889463,4.927302100161547,5.671,TP_HIT,844.1,5.671,-2.053,smart
BILLUSDT,2026-07-19 19:55:56.317476+00:00,SHORT,0.02508,60.0,11.075207993930295,-5.465510742555597,-0.159,BREAKEVEN_LOCK,364.1,2.512,-1.356,smart
NBISBUSDT,2026-07-19 19:55:56.317476+00:00,LONG,176.62,63.0,2.8317953831641605,2.991428071607671,1.563,PROFIT_LOCK,544.1,3.227,0.0,smart
FDUSDUSDT,2026-07-19 19:55:56.317476+00:00,LONG,0.9985,74.0,0.0384436587149983,0.0400761446748889,-0.05,TIMEOUT,964.1,0.01,-0.06,smart
XLMUSDT,2026-07-19 19:55:56.317476+00:00,LONG,0.1904,66.0,1.636606689552695,2.0911528150134124,-3.046,SL_HIT,604.1,0.578,-3.046,smart
GROVEUSDT,2026-07-19 19:55:56.317476+00:00,LONG,0.012218,56.0,5.740823878218476,-0.4643584521384909,-8.438,SL_HIT,544.1,0.557,-8.438,smart
VVVUSDT,2026-07-19 19:55:56.317476+00:00,LONG,11.408,57.0,3.382694225520092,-3.8192395244920414,-0.044,BREAKEVEN_LOCK,544.1,2.227,-0.044,smart
GUSDT,2026-07-19 19:55:56.317476+00:00,SHORT,0.00347,72.0,6.907552190004132,-3.0726256983240186,1.729,PROFIT_LOCK,904.1,3.458,-0.576,smart
USD1USDT,2026-07-19 20:11:21.907591+00:00,LONG,0.99982,55.0,0.0163002849852167,0.0060014403456889,0.018,TIMEOUT,948.6,0.018,0.0,smart
WLFIUSDT,2026-07-19 20:11:21.907591+00:00,LONG,0.0579,74.0,1.1381629059845406,1.9366197183098528,-1.554,TIMEOUT,948.6,0.0,-1.9,smart
BRUSDT,2026-07-19 20:11:21.907591+00:00,LONG,0.15475,57.0,3.917048927133375,-0.4310899498134113,-4.123,SL_HIT,828.6,0.911,-4.123,smart
SOXLBUSDT,2026-07-19 20:11:21.907591+00:00,SHORT,129.73,55.0,4.149683108917229,-1.5854953724776235,-5.172,SL_HIT,108.6,0.0,-5.172,smart
RECALLUSDT,2026-07-19 20:11:21.907591+00:00,LONG,0.03928,82.0,3.148195722285658,2.2650351470971173,4.888,TIMEOUT,948.6,4.888,-2.826,smart
