symbol,last_price,volume_24h,change_24h,ind_vwap,ind_vwap_distance_pct,ind_price_above_vwap,ind_vwap_score,ind_atr,ind_atr_pct,ind_atr_expanding,ind_atr_score,ind_bb_upper,ind_bb_lower,ind_bb_mid,ind_bb_width_pct,ind_bb_squeeze,ind_bb_breakout_above,ind_bb_breakout_below,ind_bb_score,ind_rvol,ind_rvol_score,ind_volume_spike,ind_volume_continuity,ind_sustained,ind_momentum_1_pct,ind_momentum_3_pct,ind_momentum_6_pct,ind_momentum_12_pct,ind_momentum_acceleration,ind_momentum_score,tech_rsi_value,tech_rsi_divergence,tech_rsi_score,tech_macd_value,tech_macd_signal,tech_macd_hist,tech_macd_divergence,tech_macd_score,tech_ema20,tech_ema50,tech_ema100,tech_ema200,tech_ema_alignment,tech_ema_score,tech_pattern_score,tech_technical_score,candle_candle_strength,candle_candle_score,candle_big_wick_top,candle_bullish_close,candle_power_streak,candle_last_body_ratio,candle_last_upper_wick,ex_ex_stoch_k,ex_ex_stoch_d,ex_ex_stoch_crossover,ex_ex_stoch_overbought,ex_ex_stoch_oversold,ex_ex_stoch_score,ex_ex_stochrsi_k,ex_ex_stochrsi_d,ex_ex_stochrsi_crossover,ex_ex_stochrsi_score,ex_ex_williams_r,ex_ex_williams_oversold,ex_ex_williams_overbought,ex_ex_williams_score,ex_ex_cci,ex_ex_cci_oversold,ex_ex_cci_overbought,ex_ex_cci_score,ex_ex_ao,ex_ex_ao_positive,ex_ex_ao_saucer,ex_ex_ao_score,ex_ex_tsi,ex_ex_tsi_positive,ex_ex_tsi_score,ex_ex_uo,ex_ex_uo_oversold,ex_ex_uo_score,ex_ex_roc,ex_ex_roc_positive,ex_ex_roc_score,ex_ex_adx,ex_ex_adx_strong,ex_ex_adx_weak,ex_ex_plus_di,ex_ex_minus_di,ex_ex_adx_score,ex_ex_aroon_up,ex_ex_aroon_down,ex_ex_aroon_score,ex_ex_aroon_crossover,ex_ex_psar,ex_ex_psar_above,ex_ex_psar_below,ex_ex_psar_score,ex_ex_psar_bullish_trend,ex_ex_vortex_plus,ex_ex_vortex_minus,ex_ex_vortex_score,ex_ex_supertrend,ex_ex_supertrend_bullish,ex_ex_supertrend_distance_pct,ex_ex_supertrend_score,ex_ex_kst,ex_ex_kst_signal,ex_ex_kst_crossover,ex_ex_kst_score,ex_ex_trix,ex_ex_trix_positive,ex_ex_trix_score,ex_ex_mfi,ex_ex_mfi_oversold,ex_ex_mfi_overbought,ex_ex_mfi_score,ex_ex_cmf,ex_ex_cmf_positive,ex_ex_cmf_score,ex_ex_obv_norm,ex_ex_obv_slope_norm,ex_ex_obv_score,ex_ex_ad_norm,ex_ex_ad_slope_norm,ex_ex_ad_score,ex_ex_force_norm,ex_ex_force_positive,ex_ex_force_score,ex_ex_eom,ex_ex_eom_positive,ex_ex_eom_score,ex_ex_vpt_norm,ex_ex_vpt_slope_norm,ex_ex_vpt_score,ex_ex_kc_upper,ex_ex_kc_lower,ex_ex_kc_mid,ex_ex_kc_breakout_above,ex_ex_kc_breakout_below,ex_ex_kc_score,ex_ex_dc_upper,ex_ex_dc_lower,ex_ex_dc_mid,ex_ex_dc_breakout_above,ex_ex_dc_breakout_below,ex_ex_dc_score,ex_ex_ulcer,ex_ex_ulcer_score,ex_ex_mass_index,ex_ex_mass_reversal,ex_ex_mass_score
HYPERUSDT,0.0665,6345649.34181,-0.003,0.06652710447960801,-0.04074201007247236,0,49.59257989927528,0.0013322524889660763,2.0033872014527465,0,50.0,0.06797868733223446,0.06516131266776552,0.06656999999999999,4.232198684796359,1,0,0,65.0,0.69,25.70037520228344,0,1.0,0,-0.15015015015015445,0.4531722054380795,-0.8941877794336859,0.6051437216338843,1.7944538745886187,54.68596864253555,44.00628813280944,none,50.0,-0.0004971330093871268,-0.0005669903891409024,6.985737975377562e-05,none,60,0.0670083821007749,0.06800013574644971,0.06969390748725161,0.0724299314634534,bearish,10.0,50.0,40.0,0.29444444444445017,24.722222222222513,1,0,0.0,0.20000000000000556,0.5999999999999889,41.666666666666714,48.05555555555569,0.0,0.0,0.0,45.0,64.3362265990179,70.49992921688677,0.0,40.0,-58.333333333333286,0.0,0.0,50.0,8.078231292518547,0.0,0.0,50.0,-0.0009288235294117736,0.0,0.0,50.0,-12.333597031340938,0.0,37.666402968659064,38.60965914864864,0.0,50.0,0.6051437216338843,1.0,52.42057488653554,26.478720379319952,1.0,0.0,11.160458528366181,20.202808889472653,55.0,20.0,28.000000000000004,50.0,0.0,0.06328961587200001,0.0,1.0,70.0,1.0,1.044585987261147,1.0127388535031852,70.0,0.06285397529582341,1.0,5.8007861666927285,70.0,-34.598770358291596,-38.3700321272286,1.0,65.0,-0.12912867291099533,0.0,37.08713270890047,47.902845558388655,0.0,0.0,50.0,-0.05173623137284524,0.0,45.0,-0.3603942546560325,0.030449582166081214,65.0,-1.0368306088800368,-0.07905014479795514,35.0,-0.0007460484885881552,0.0,35.0,2.270106723437805e-07,1.0,60.0,-0.02680621202906249,-0.00024363726825370126,35.0,0.06817666666666668,0.06489666666666667,0.06653666666666666,0.0,0.0,50.0,0.0699,0.0626,0.06625,0.0,0.0,50.0,3.4546337857801426,43.090732428439715,25.235711335435344,0.0,50.0
EPICUSDT,0.6033,5010902.41785,0.1049,0.5407818136087859,11.560704302168194,1,90.0,0.03511602221232893,5.820656756560407,1,70.0,0.6419325114799996,0.3767974885200005,0.5093650000000001,52.05206933338551,0,0,0,50.0,0.269,13.067642414036373,0,1.0,0,0.8188502673796632,-4.131574765612589,10.697247706422,34.96644295302012,-19.599464673869456,88.48272159309958,75.30564594011476,none,24.694354059885242,0.04360459451387211,0.033220009646068735,0.010384584867803373,none,60,0.5299569284472821,0.4785759976960068,0.45153118532738507,0.43868950630718745,bullish,95.0,62.0,59.89811801996175,0.3839759227550797,44.19879613775399,0,0,0.0,0.3356164383561565,0.4383561643835649,82.53576714356186,81.84810288985966,1.0,1.0,0.0,35.0,62.6717483383635,78.71509627428527,0.0,40.0,-17.46423285643813,0.0,1.0,30.0,110.14135860798524,0.0,1.0,40.0,0.10725294117647055,1.0,0.0,70.0,52.14243719857077,1.0,100.0,65.93401947692654,0.0,50.0,34.96644295302012,1.0,90.0,41.09035548072051,1.0,0.0,25.946073028786067,11.137490403471569,75.0,88.0,40.0,70.0,1.0,0.5089,0.0,1.0,70.0,1.0,1.2856908434525762,0.7215293731539218,70.0,0.48380884451612755,1.0,24.698009728073337,70.0,254.36030828079828,158.3607027844015,1.0,70.0,1.0112054788842406,1.0,90.0,81.08472165794967,0.0,1.0,25.0,0.22159220991173764,1.0,70.0,0.6564856066621092,0.166319112447484,65.0,-1.0222783059726983,0.12675416703559805,65.0,0.01416496551569222,1.0,65.0,0.015067447573538686,1.0,60.0,-0.0962765481898222,0.008733807314933392,65.0,0.5412083333333333,0.4718683333333334,0.5065383333333333,1.0,0.0,70.0,0.6387,0.419,0.52885,0.0,0.0,50.0,2.195431486969195,45.60913702606161,28.869168235954255,1.0,60.0
WCTUSDT,0.04232,4155282.087277,-0.0096,0.04210621821568145,0.5077202213304752,1,55.07720221330475,0.0006485940308004126,1.5325945907382148,0,50.0,0.04321294084866065,0.04104905915133936,0.042131,5.136079602481048,0,0,0,50.0,0.709,26.27008491768539,0,1.0,0,0.7859014050964609,0.3319108582266506,-1.443875174662309,0.5464480874316964,2.101822362651422,54.28556709834798,50.280004238456826,none,50.0,-2.1034582351746323e-05,-2.7960399836778626e-05,6.925817485032303e-06,none,60,0.04226904115274732,0.042534226633592145,0.043114450289297036,0.04447413199377172,mixed,38.0,50.0,49.333333333333336,0.47099723468159693,48.54986173407985,0,1,1.0,0.785714285714301,0.07142857142856081,40.13157894736883,44.91626794258391,0.0,0.0,0.0,45.0,38.480072192253836,30.971645950572253,1.0,60.0,-59.86842105263117,0.0,0.0,50.0,13.63217387085707,0.0,0.0,50.0,-3.97058823529417e-05,0.0,0.0,50.0,-0.9982116706618537,0.0,49.00178832933815,46.86871404080025,0.0,50.0,0.5464480874316964,1.0,52.18579234972678,13.91478581376852,0.0,1.0,19.46432593275932,15.649346846266171,55.0,8.0,24.0,50.0,0.0,0.043171392,1.0,0.0,30.0,0.0,1.0868131868131867,0.9505494505494506,70.0,0.04026130249863436,1.0,5.113340536947287,70.0,3.096652598142295,-3.287911255631333,1.0,70.0,-0.006857689973070959,0.0,49.31423100269291,56.752938562035496,0.0,0.0,50.0,0.15112701605678167,1.0,70.0,-0.608282195696292,0.023820900321783064,65.0,-0.8772708134807569,-0.0026599591992037676,35.0,-0.0001082333416461306,0.0,35.0,-3.4001085393043214e-07,0.0,40.0,-0.009212493589333614,-0.0006587578990201726,35.0,0.04278133333333333,0.041431333333333334,0.042106333333333336,0.0,0.0,55.0,0.04323,0.04062,0.041925000000000004,0.0,0.0,50.0,1.3079347130996306,47.38413057380074,24.992849962897154,0.0,50.0
RECALLUSDT,0.03856,3764181.84135,0.0371,0.03827819496823452,0.7362025090246117,1,57.36202509024612,0.0013677741874656387,3.5471322289046645,0,50.0,0.04065767337822296,0.035906326621777035,0.038282,12.411438160090706,0,0,0,50.0,0.684,25.533219412631105,0,0.0,0,1.0482180293500984,2.44420828905419,3.7116729424421715,-2.6999747665909704,1.2069839749067932,61.598343070621354,55.90306629379733,none,50.0,0.0002543336477150229,0.00037498934292995814,-0.00012065569521493521,none,40,0.037744786914896716,0.03667843937562285,0.035309405509649366,0.034090644216442,bullish,95.0,62.0,61.666666666666664,0.4940239537693147,34.70119768846573,1,0,0.0,0.28776978417265964,0.5971223021582756,64.8793565683645,38.29311885612152,1.0,0.0,0.0,55.0,61.77900670126583,29.93208352647356,1.0,60.0,-35.1206434316355,0.0,0.0,50.0,24.224089635854153,0.0,0.0,50.0,0.00022917647058823265,1.0,0.0,70.0,5.745422962137125,1.0,55.74542296213713,47.928033797836726,0.0,50.0,-2.6999747665909704,0.0,39.20010093363612,25.659857918556725,1.0,0.0,25.410591153239892,15.643859642605534,75.0,44.0,68.0,50.0,0.0,0.040055803629265294,1.0,0.0,30.0,0.0,0.9289740698985341,1.134723788049605,35.0,0.04282065063538544,0.0,-9.949990418558926,30.0,28.76224855398687,65.44405134457534,0.0,40.0,0.15680074328362575,1.0,65.68007432836258,42.076089441669595,0.0,0.0,50.0,0.017929201343061075,1.0,55.0,1.2031428828595598,0.0032446581808107337,65.0,-0.4544828928181733,-0.00809836584745427,35.0,0.002626445138820052,1.0,65.0,1.2104122749382281e-05,1.0,60.0,0.010597285311118585,0.0012797849609045566,65.0,0.039702666666666664,0.03687666666666666,0.038289666666666666,0.0,0.0,55.0,0.04178,0.03614,0.038959999999999995,0.0,0.0,50.0,7.784912281751459,34.43017543649708,25.102576209191014,0.0,50.0
GROVEUSDT,0.011434,2540282.4432611,-0.0122,0.011675312024047781,-2.0668571730738186,0,29.331428269261814,0.00043460825119144206,3.8010167149855,0,50.0,0.012197089262472255,0.011085810737527743,0.01164145,9.545877231311493,1,0,0,65.0,0.68,25.410740941804903,0,0.0,0,0.8378163859246812,0.5982755586837969,-0.918544194107454,-0.6861808390515152,2.10607451882245,54.385713958983715,35.817057111450794,bullish_div,84.1829428885492,-0.0004536369743914411,-0.0005461038053484553,9.246683095701417e-05,bullish_div,70,0.011762754293997361,0.013510613977025632,,,mixed,26.0,62.0,60.06098096284973,0.39019552193204715,44.50977609660236,0,1,0.0,0.5688622754490977,0.3053892215568895,12.846347607052914,10.959509272074781,1.0,0.0,1.0,75.0,65.07645004132769,57.39446250533889,1.0,60.0,-87.15365239294708,1.0,0.0,70.0,-79.36360493139024,0.0,0.0,50.0,-0.0006420852941176475,0.0,0.0,65.0,-32.96120391212325,0.0,17.038796087876747,39.920392199775776,0.0,50.0,-0.6861808390515152,0.0,47.25527664379394,11.428057373815378,0.0,1.0,20.273712422666502,19.62861782088487,55.0,12.0,36.0,50.0,0.0,0.012632603086015617,1.0,0.0,30.0,0.0,1.01749213836478,1.058372641509434,40.0,0.012478953153733822,0.0,-8.373724469196858,30.0,-85.00216303004942,-102.112463603099,1.0,65.0,-0.5768059511880326,0.0,10.0,42.71959563219269,0.0,0.0,50.0,-0.18489757145201743,0.0,30.0,-1.5383427911634056,-0.03175019082325422,35.0,-1.1530643560985792,-0.05201142850844223,35.0,-0.0024859165699739425,0.0,35.0,2.9058205240041405e-08,1.0,60.0,-0.045391820295622574,-0.0007198456491981662,35.0,0.01207715,0.01126015,0.01166865,0.0,0.0,50.0,0.012518,0.011029,0.0117735,0.0,0.0,50.0,6.750145550862021,36.499708898275955,23.018111113897113,0.0,50.0
TLMUSDT,0.001809,2448715.801501,0.0403,0.0020290809333310803,-10.846335881229741,0,10.0,0.00019223377638670565,10.626521635528228,0,50.0,0.0023393017213083384,0.0013937982786916619,0.0018665500000000002,50.655136086184484,0,0,0,50.0,0.37,16.089432154727017,0,1.0,0,2.492917847025495,8.193779904306218,5.174418604651168,-0.05524861878452574,10.984477578724816,73.52827374486677,51.3061795570813,none,50.0,-1.1497877536197423e-05,-9.577040298733622e-07,-1.0540173506324062e-05,none,40,0.0017785168808996553,0.0017926206491600445,0.0018037332155268384,0.0016779139765171415,mixed,50.0,62.0,46.666666666666664,0.3167419062885056,25.837095314425284,1,0,0.0,0.28571428571428553,0.6753246753246746,48.05194805194805,43.50548942994271,1.0,0.0,0.0,55.0,97.56947436417295,57.78177903050336,1.0,35.0,-51.94805194805195,0.0,0.0,50.0,-25.24713163011035,0.0,0.0,50.0,3.870588235294244e-06,1.0,0.0,70.0,-1.5419253057335363,0.0,48.458074694266465,30.85182241173305,0.0,50.0,-0.05524861878452574,0.0,49.779005524861894,29.88448571662926,1.0,0.0,29.713640061079666,13.186730238186145,75.0,24.0,0.0,55.0,1.0,0.0016052952000000001,0.0,1.0,70.0,1.0,0.9415016121602948,1.0566559189313685,35.0,0.0012580505606217527,1.0,43.793902774937564,70.0,33.487214912128046,126.39229751390644,0.0,40.0,0.06455091686607912,1.0,56.455091686607915,50.430153524445686,0.0,0.0,50.0,-0.38851944555139317,0.0,30.0,-0.061523633889713665,0.07714315563576783,65.0,-1.427419742729374,-0.059159062768873144,35.0,0.03536890148965579,1.0,65.0,4.2814595531595335e-09,1.0,60.0,0.5673528967934252,0.006639336586785683,65.0,0.00210095,0.00169135,0.0018961499999999999,0.0,0.0,50.0,0.002761,0.001587,0.002174,0.0,0.0,50.0,27.490568622294635,10.0,28.002565432257242,1.0,60.0
RESOLVUSDT,0.01941,2312556.866058,-0.0231,0.01981373560978948,-2.03765517891539,0,29.6234482108461,0.0006626967622247716,3.414202793533084,0,50.0,0.02050743235799308,0.019084567642006924,0.019796,7.187637482249723,1,0,0,65.0,0.685,25.55570975905599,0,1.0,0,0.0,0.9885535900104017,-1.9696969696969768,-2.950000000000001,3.9178465193033336,51.06868855043671,42.64281764796455,none,50.0,-0.0002373164852103385,-0.00018299926318930112,-5.431722202103737e-05,none,40,0.019745688955975237,0.020041245818561475,0.02021901302538643,0.019730187343201942,mixed,38.0,56.0,42.666666666666664,0.24475623582766437,22.237811791383223,1,0,0.0,0.0,0.7083333333333315,27.727272727272695,25.757575757575683,1.0,0.0,0.0,55.0,31.15637611764334,18.952613064930805,1.0,60.0,-72.27272727272731,0.0,0.0,50.0,-92.79095468843059,0.0,0.0,50.0,-0.000740323529411762,0.0,0.0,50.0,-12.921003186949692,0.0,37.07899681305031,36.2749330939822,0.0,50.0,-2.950000000000001,0.0,38.199999999999996,12.718406102657699,0.0,1.0,15.658276622598951,18.992942437423157,35.0,8.0,84.0,35.0,0.0,0.02032455822578168,1.0,0.0,30.0,0.0,0.9825136612021858,1.0786885245901636,35.0,0.01758975856166308,1.0,10.348302575932676,70.0,-36.33294266792208,-19.396659201920937,0.0,35.0,-0.128776950427961,0.0,37.1223049572039,39.63433507782019,0.0,0.0,50.0,-0.053393349127733844,0.0,45.0,0.8276219131908749,0.11392457269562582,65.0,-1.221244917305474,-0.05981174197588541,35.0,-0.0023417143502680584,0.0,35.0,-1.772536845871059e-08,0.0,40.0,0.11084946500426889,-0.0017589789118366086,35.0,0.020434666666666667,0.019179666666666664,0.019807166666666667,0.0,0.0,50.0,0.021,0.0188,0.0199,0.0,0.0,50.0,4.787043472040786,40.42591305591843,23.413803354913288,0.0,50.0
OPNUSDT,0.0705,2203537.43535,0.0352,0.06432534305340416,9.599104572935598,1,90.0,0.002843849851608925,4.033829576750249,0,50.0,0.0714717228485993,0.0584682771514007,0.06497,20.01453855194491,0,0,0,50.0,0.073,7.1918695887170525,0,0.0,0,2.026049204052096,6.015037593984947,3.8291605301914453,13.344051446945329,8.076893264088037,79.46974053503749,63.836162614899244,none,41.163837385100756,0.001794104963371762,0.001287642483434482,0.0005064624799372801,none,60,0.06600316652620254,0.06433043895838286,0.06419544455695017,0.06591456378377353,mixed,62.0,50.0,54.38794579503358,0.5566666666666655,52.83333333333328,0,1,0.0,0.5599999999999989,0.32000000000000334,76.06837606837598,64.99154202279196,1.0,0.0,0.0,55.0,55.048812964174445,45.25371353310923,1.0,60.0,-23.93162393162402,0.0,0.0,50.0,117.0131728071644,0.0,1.0,40.0,0.00461029411764706,1.0,0.0,70.0,20.35431732481695,1.0,70.35431732481695,52.8851607002559,0.0,50.0,13.344051446945329,1.0,90.0,34.13123071015574,1.0,0.0,31.767881143015913,8.522655493451257,75.0,72.0,36.0,70.0,1.0,0.072800132,1.0,0.0,30.0,0.0,1.1641137855579868,0.8293216630196937,70.0,0.060861515270983026,1.0,15.836747879348827,70.0,79.40137762589441,43.687630953364334,1.0,70.0,0.2900371620916797,1.0,79.00371620916798,92.13960180340943,0.0,1.0,25.0,0.29721426566538817,1.0,70.0,0.7360499471688868,0.015569277817554341,65.0,-0.263562052381079,0.0006351047751676743,65.0,0.005664235941866778,1.0,65.0,0.0001901164836985637,1.0,60.0,-0.023441290873536424,0.00024307819678288963,65.0,0.06768666666666666,0.06221666666666666,0.06495166666666666,1.0,0.0,70.0,0.0733,0.0598,0.06655,0.0,0.0,50.0,2.8113477752364027,44.377304449527195,26.890057852497907,0.0,55.0
ERAUSDT,0.1019,2036098.08262,0.0749,0.10084303387960944,1.0481300291425333,1,60.481300291425335,0.012168873758504168,11.941976210504581,1,70.0,0.12127038839020927,0.047439611609790724,0.084355,87.52388925424522,0,0,0,50.0,0.401,17.019407575080564,0,0.0,0,5.377456049638067,-5.473098330241189,10.52060737527115,60.7255520504732,-22.392838026553555,90.0,63.03999825558396,bearish_div,26.96000174441604,0.008186981404135651,0.00665210373023775,0.0015348776738979015,none,60,0.08915578882658977,0.0818110573455934,0.08064869943953756,0.08216561720009428,mixed,62.0,62.0,49.65333391480535,0.3982346164272161,29.911730821360806,1,0,0.0,0.41935483870967843,0.5322580645161289,44.32432432432433,41.24747592420006,1.0,0.0,0.0,55.0,67.20539861812347,69.74411541970439,0.0,40.0,-55.67567567567568,0.0,0.0,50.0,61.34827916681827,0.0,0.0,50.0,0.027112352941176462,1.0,1.0,70.0,30.576495767436462,1.0,80.57649576743646,33.161788244193566,0.0,50.0,60.7255520504732,1.0,90.0,56.08484874860407,1.0,0.0,46.4217845361337,13.860745313691716,75.0,88.0,36.0,70.0,1.0,0.0935,0.0,1.0,70.0,1.0,1.1413779370768617,0.8187972919155715,70.0,0.06005694571356983,1.0,69.67229816513257,70.0,387.5846353869967,229.48254631653253,1.0,70.0,1.2813011339056724,1.0,90.0,80.80529381407565,0.0,1.0,25.0,-0.26450433277260793,0.0,30.0,0.24874543749218436,0.11027192772876729,65.0,-0.307585351652017,-0.1641270520123686,35.0,0.036471033476064015,1.0,65.0,0.006824880240071285,1.0,60.0,0.11986143715178918,0.008682327463739335,65.0,0.098465,0.072155,0.08531000000000001,1.0,0.0,70.0,0.1534,0.0603,0.10685,0.0,0.0,50.0,6.8734045281248815,36.25319094375024,32.2992657660789,1.0,60.0
ACEUSDT,0.0911,2083703.88245,-0.0194,0.11272446015411869,-19.18346747862299,0,10.0,0.0104329647735176,11.452211606495718,0,50.0,0.13778623599552947,0.06448376400447052,0.101135,72.47982596634098,0,0,0,50.0,0.098,7.927138073358988,0,0.0,0,0.997782705099776,3.4052213393870634,0.4410143329658187,-18.805704099821742,6.271814503664908,45.25779201661909,49.938303243139174,none,50.0,0.0019493892249896477,0.0046381698464411985,-0.002688780621451551,none,40,0.09288021223930176,0.08606412016975158,0.08112437596201895,0.07860071057524172,mixed,62.0,74.0,50.666666666666664,0.42240109427609396,31.1200547138047,1,0,0.0,0.2812499999999999,0.5624999999999998,9.876543209876536,8.531517337962896,1.0,0.0,1.0,75.0,9.994601471187872,5.157126259744813,1.0,85.0,-90.12345679012347,1.0,0.0,70.0,-48.89532079112406,0.0,0.0,50.0,0.003554705882352932,1.0,0.0,60.0,5.054968201790446,1.0,55.054968201790444,30.428673334149362,0.0,50.0,-18.805704099821742,0.0,10.0,29.51576336551761,1.0,0.0,23.62599638542911,16.67208321834249,75.0,40.0,4.0,55.0,1.0,0.11952417279662209,1.0,0.0,30.0,0.0,0.8242134062927496,1.3549931600547198,35.0,0.06029687712671507,1.0,51.08576818754903,70.0,310.40325887452724,463.9776280455162,0.0,40.0,0.9047805220240904,1.0,90.0,36.521495620230766,0.0,0.0,50.0,-0.13866742551742833,0.0,30.0,0.2796622869159697,-0.017612221307682314,35.0,-0.29741923830871847,-0.0442460700334355,35.0,0.011116696080997981,1.0,65.0,0.0005071647272898805,1.0,60.0,0.07764098409105462,-0.00040827588865622444,35.0,0.11769166666666667,0.08589166666666667,0.10179166666666668,0.0,0.0,50.0,0.1548,0.0661,0.11044999999999999,0.0,0.0,50.0,31.3099808215247,10.0,29.679309953011735,1.0,60.0
