symbol,ts,label,composite,sub_scores
BTCUSDT,2026-04-22 04:00:00+00:00,0,64.31220381508943,"{'technical': 64.48744923144314, 'momentum': 3.986550611820524, 'volume': 87.25, 'vwap': 2.891965673450169, 'atr_bb': 27.059200604890886, 'structure': 50.0, 'candle': 74.95483168184126, 'mtf': 49.50171659866812, 'pattern': 50.0}"
BNBUSDT,2026-04-22 04:00:00+00:00,0,43.26265202851944,"{'technical': 63.382072588593026, 'momentum': 2.5133732534930155, 'volume': 76.44999999999999, 'vwap': 2.1293064625722486, 'atr_bb': 21.764364250386134, 'structure': 50.0, 'candle': 70.26771227959006, 'mtf': 50.255477566205556, 'pattern': 50.0}"
OPNUSDT,2026-04-22 04:00:00+00:00,1,48.369823996439585,"{'technical': 55.3152710156408, 'momentum': 7.891491985203439, 'volume': 39.550000000000004, 'vwap': 5.85983463857749, 'atr_bb': 84.33670524600726, 'structure': 50.0, 'candle': 62.03248463564513, 'mtf': 47.06290524399954, 'pattern': 50.0}"
SOLUSDT,2026-04-22 04:00:00+00:00,0,64.40399055117994,"{'technical': 60.923514307276086, 'momentum': 4.102624733979663, 'volume': 77.14999999999999, 'vwap': 2.839596038364769, 'atr_bb': 32.27327716391352, 'structure': 50.0, 'candle': 75.49259769231598, 'mtf': 49.57663460457313, 'pattern': 50.0}"
SATSUSDT,2026-04-22 04:00:00+00:00,0,55.86560223478155,"{'technical': 50.02891929381559, 'momentum': 3.888888888888887, 'volume': 20.7, 'vwap': 1.4461893974826507, 'atr_bb': 100, 'structure': 50.0, 'candle': 43.97836538461544, 'mtf': 51.652229891362325, 'pattern': 50.0}"
DOTUSDT,2026-04-22 04:00:00+00:00,0,57.54091990394949,"{'technical': 59.30116810223061, 'momentum': 3.650793650793654, 'volume': 100, 'vwap': 2.47923787663606, 'atr_bb': 40.1659511012577, 'structure': 50.0, 'candle': 62.318141122488726, 'mtf': 56.01653696498056, 'pattern': 50.0}"
HYPERUSDT,2026-04-22 04:00:00+00:00,1,53.42933561645401,"{'technical': 50.59318386430456, 'momentum': 3.991370010787481, 'volume': 48.55, 'vwap': 1.0404357146523506, 'atr_bb': 47.22137311650886, 'structure': 50.0, 'candle': 67.11111111111101, 'mtf': 42.507851480383955, 'pattern': 50.0}"
TUTUSDT,2026-04-22 04:00:00+00:00,0,42.09542874025435,"{'technical': 50.49851396080858, 'momentum': 1.5639374425023, 'volume': 33.2, 'vwap': 1.378454687732978, 'atr_bb': 73.0287228234813, 'structure': 50.0, 'candle': 39.7511770430574, 'mtf': 49.72869663791197, 'pattern': 50.0}"
XRPUSDT,2026-04-22 04:00:00+00:00,0,48.95566140400752,"{'technical': 59.621835387717645, 'momentum': 2.879173740803619, 'volume': 48.199999999999996, 'vwap': 1.9946833379565387, 'atr_bb': 28.865462086268533, 'structure': 50.0, 'candle': 70.56474743007264, 'mtf': 48.13386303574914, 'pattern': 50.0}"
RECALLUSDT,2026-04-22 04:00:00+00:00,0,49.135152005407384,"{'technical': 54.786399859866215, 'momentum': 7.025507998270634, 'volume': 51.6, 'vwap': 3.103919474918067, 'atr_bb': 73.2417185900681, 'structure': 50.0, 'candle': 63.95931916656821, 'mtf': 56.89966555090873, 'pattern': 50.0}"
